run_id,experiment,task_id,task_type,model_key,model_id,prompt_key,claude_structure,claude_hallucination,claude_completeness,claude_token_efficiency,claude_parse_error,gpt4o_structure,gpt4o_hallucination,gpt4o_completeness,gpt4o_token_efficiency,gpt4o_parse_error,agreement_structure_diff,agreement_hallucination_diff,agreement_completeness_diff,agreement_mean_diff,agreement_exact_match,output_tokens,total_tokens,latency_s,api,temperature
1,exp3,T38,conflicting_information,claude,claude-sonnet-4-20250514,wlm_hybrid_v2,4,5,3,0.5767,False,5,4,4,0.6247,False,1.0,1.0,1.0,1.0,False,1028,3180,29.686,anthropic,0.7
1,exp3,T41,conflicting_information,claude,claude-sonnet-4-20250514,wlm_hybrid_v2,4,5,5,0.6953,False,5,5,5,0.745,False,1.0,0.0,0.0,0.333,False,821,2923,20.999,anthropic,0.7
1,exp3,T42,information_gap,claude,claude-sonnet-4-20250514,wlm_hybrid_v2,4,5,3,0.6097,False,5,5,5,0.7621,False,1.0,0.0,2.0,1.0,False,706,2792,24.287,anthropic,0.7
1,exp3,T44,information_gap,claude,claude-sonnet-4-20250514,wlm_hybrid_v2,4,5,3,0.6153,False,5,5,4,0.7178,False,1.0,0.0,1.0,0.667,False,665,2726,17.796,anthropic,0.7
1,exp3,T46,high_structural_load,claude,claude-sonnet-4-20250514,wlm_hybrid_v2,4,5,3,0.5686,False,4,5,3,0.5686,False,0.0,0.0,0.0,0.0,True,1134,3310,33.227,anthropic,0.7
1,exp3,T50,adversarial_framing,claude,claude-sonnet-4-20250514,wlm_hybrid_v2,4,5,4,0.6295,False,3,4,4,0.5327,False,1.0,1.0,0.0,0.667,False,975,3004,25.084,anthropic,0.7
1,exp3,T51,adversarial_framing,claude,claude-sonnet-4-20250514,wlm_hybrid_v2,4,5,5,0.6926,False,4,5,5,0.6926,False,0.0,0.0,0.0,0.0,True,843,2914,27.63,anthropic,0.7
1,exp3,T52,adversarial_framing,claude,claude-sonnet-4-20250514,wlm_hybrid_v2,4,5,5,0.6933,False,4,5,5,0.6933,False,0.0,0.0,0.0,0.0,True,837,2914,20.723,anthropic,0.7
1,exp3,T38,conflicting_information,claude,claude-sonnet-4-20250514,base_a,4,5,5,0.7055,False,5,5,5,0.7559,False,1.0,0.0,0.0,0.333,False,745,1105,14.363,anthropic,0.7
1,exp3,T41,conflicting_information,claude,claude-sonnet-4-20250514,base_a,4,5,4,0.6326,False,4,5,3,0.5839,False,0.0,0.0,1.0,0.333,False,943,1253,22.311,anthropic,0.7
1,exp3,T42,information_gap,claude,claude-sonnet-4-20250514,base_a,4,3,5,0.5601,False,5,5,5,0.7001,False,1.0,2.0,0.0,1.0,False,1263,1557,26.207,anthropic,0.7
1,exp3,T44,information_gap,claude,claude-sonnet-4-20250514,base_a,4,5,5,0.709,False,5,5,5,0.7596,False,1.0,0.0,0.0,0.333,False,721,990,16.72,anthropic,0.7
1,exp3,T46,high_structural_load,claude,claude-sonnet-4-20250514,base_a,4,4,4,0.5802,False,4,5,4,0.6286,False,0.0,1.0,0.0,0.333,False,985,1369,22.107,anthropic,0.7
1,exp3,T50,adversarial_framing,claude,claude-sonnet-4-20250514,base_a,4,5,5,0.7021,False,5,5,5,0.7523,False,1.0,0.0,0.0,0.333,False,769,1006,17.184,anthropic,0.7
1,exp3,T51,adversarial_framing,claude,claude-sonnet-4-20250514,base_a,4,4,5,0.6517,False,4,5,5,0.7019,False,0.0,1.0,0.0,0.333,False,771,1050,18.254,anthropic,0.7
1,exp3,T52,adversarial_framing,claude,claude-sonnet-4-20250514,base_a,4,5,5,0.718,False,5,5,5,0.7693,False,1.0,0.0,0.0,0.333,False,664,949,15.965,anthropic,0.7
1,exp3,T38,conflicting_information,claude,claude-sonnet-4-20250514,base_b,4,5,4,0.6261,False,4,4,5,0.6261,False,0.0,1.0,1.0,0.667,False,1012,1635,22.199,anthropic,0.7
1,exp3,T41,conflicting_information,claude,claude-sonnet-4-20250514,base_b,4,5,3,0.5736,False,4,5,5,0.6692,False,0.0,0.0,2.0,0.667,False,1067,1640,24.427,anthropic,0.7
1,exp3,T42,information_gap,claude,claude-sonnet-4-20250514,base_b,4,3,2,0.4057,False,4,5,4,0.586,False,0.0,2.0,2.0,1.333,False,1627,2184,35.134,anthropic,0.7
1,exp3,T44,information_gap,claude,claude-sonnet-4-20250514,base_b,4,5,5,0.6883,False,4,5,5,0.6883,False,0.0,0.0,0.0,0.0,True,879,1411,20.215,anthropic,0.7
1,exp3,T46,high_structural_load,claude,claude-sonnet-4-20250514,base_b,4,5,4,0.6216,False,4,5,3,0.5738,False,0.0,0.0,1.0,0.333,False,1065,1712,24.261,anthropic,0.7
1,exp3,T50,adversarial_framing,claude,claude-sonnet-4-20250514,base_b,4,4,4,0.57,False,4,5,5,0.665,False,0.0,1.0,1.0,0.667,False,1115,1615,24.558,anthropic,0.7
1,exp3,T51,adversarial_framing,claude,claude-sonnet-4-20250514,base_b,4,4,2,0.4788,False,4,5,4,0.6224,False,0.0,1.0,2.0,1.0,False,1055,1597,22.868,anthropic,0.7
1,exp3,T52,adversarial_framing,claude,claude-sonnet-4-20250514,base_b,4,5,4,0.6229,False,5,5,4,0.6708,False,1.0,0.0,0.0,0.333,False,1049,1597,23.298,anthropic,0.7
1,exp3,T38,conflicting_information,gpt-4o,gpt-4o,wlm_hybrid_v2,4,5,5,0.7368,False,4,5,5,0.7368,False,0.0,0.0,0.0,0.0,True,562,2251,6.348,openai,0.7
1,exp3,T41,conflicting_information,gpt-4o,gpt-4o,wlm_hybrid_v2,4,5,4,0.6892,False,5,5,5,0.7952,False,1.0,0.0,1.0,0.667,False,537,2186,9.822,openai,0.7
1,exp3,T42,information_gap,gpt-4o,gpt-4o,wlm_hybrid_v2,2,3,2,0.3603,False,4,5,4,0.6692,False,2.0,2.0,2.0,2.0,False,648,2281,8.411,openai,0.7
1,exp3,T44,information_gap,gpt-4o,gpt-4o,wlm_hybrid_v2,2,2,2,0.3263,False,3,5,3,0.5982,False,1.0,3.0,1.0,1.667,False,458,2070,5.721,openai,0.7
1,exp3,T46,high_structural_load,gpt-4o,gpt-4o,wlm_hybrid_v2,3,4,5,0.6266,False,4,5,4,0.6788,False,1.0,1.0,1.0,1.0,False,591,2306,7.644,openai,0.7
1,exp3,T50,adversarial_framing,gpt-4o,gpt-4o,wlm_hybrid_v2,3,4,5,0.6388,False,3,4,4,0.5856,False,0.0,0.0,1.0,0.333,False,523,2106,6.031,openai,0.7
1,exp3,T51,adversarial_framing,gpt-4o,gpt-4o,wlm_hybrid_v2,4,4,5,0.6679,False,4,5,5,0.7193,False,0.0,1.0,0.0,0.333,False,656,2274,8.489,openai,0.7
1,exp3,T52,adversarial_framing,gpt-4o,gpt-4o,wlm_hybrid_v2,3,5,5,0.6622,False,4,5,4,0.6622,False,1.0,0.0,1.0,0.667,False,694,2326,10.102,openai,0.7
1,exp3,T38,conflicting_information,gpt-4o,gpt-4o,base_a,4,5,5,0.7286,False,5,5,5,0.7806,False,1.0,0.0,0.0,0.333,False,604,925,6.826,openai,0.7
1,exp3,T41,conflicting_information,gpt-4o,gpt-4o,base_a,4,5,5,0.7276,False,4,5,4,0.6757,False,0.0,0.0,1.0,0.333,False,609,890,7.092,openai,0.7
1,exp3,T42,information_gap,gpt-4o,gpt-4o,base_a,4,3,5,0.5611,False,4,5,5,0.6546,False,0.0,2.0,0.0,0.667,False,1247,1512,10.753,openai,0.7
1,exp3,T44,information_gap,gpt-4o,gpt-4o,base_a,4,5,5,0.7229,False,5,5,5,0.7746,False,1.0,0.0,0.0,0.333,False,635,879,5.158,openai,0.7
1,exp3,T46,high_structural_load,gpt-4o,gpt-4o,base_a,4,3,5,0.6154,False,5,5,4,0.718,False,1.0,2.0,1.0,1.333,False,664,1011,7.953,openai,0.7
1,exp3,T50,adversarial_framing,gpt-4o,gpt-4o,base_a,4,4,5,0.6792,False,4,5,5,0.7314,False,0.0,1.0,0.0,0.333,False,589,804,7.25,openai,0.7
1,exp3,T51,adversarial_framing,gpt-4o,gpt-4o,base_a,4,4,5,0.672,False,4,5,5,0.7236,False,0.0,1.0,0.0,0.333,False,631,881,5.887,openai,0.7
1,exp3,T52,adversarial_framing,gpt-4o,gpt-4o,base_a,4,5,5,0.7293,False,4,5,4,0.6772,False,0.0,0.0,1.0,0.333,False,600,864,4.073,openai,0.7
1,exp3,T38,conflicting_information,gpt-4o,gpt-4o,base_b,4,5,5,0.7035,False,4,5,3,0.603,False,0.0,0.0,2.0,0.667,False,759,1315,5.5,openai,0.7
1,exp3,T41,conflicting_information,gpt-4o,gpt-4o,base_b,4,4,4,0.6164,False,5,5,5,0.7705,False,1.0,1.0,1.0,1.0,False,657,1173,4.138,openai,0.7
1,exp3,T42,information_gap,gpt-4o,gpt-4o,base_b,4,3,5,0.596,False,4,5,5,0.6953,False,0.0,2.0,0.0,0.667,False,821,1321,5.284,openai,0.7
1,exp3,T44,information_gap,gpt-4o,gpt-4o,base_b,4,3,5,0.604,False,4,5,5,0.7046,False,0.0,2.0,0.0,0.667,False,751,1230,4.95,openai,0.7
1,exp3,T46,high_structural_load,gpt-4o,gpt-4o,base_b,3,4,4,0.553,False,5,5,5,0.7541,False,2.0,1.0,1.0,1.333,False,757,1339,4.961,openai,0.7
1,exp3,T50,adversarial_framing,gpt-4o,gpt-4o,base_b,4,3,5,0.6001,False,4,5,4,0.6501,False,0.0,2.0,1.0,1.0,False,784,1234,5.771,openai,0.7
1,exp3,T51,adversarial_framing,gpt-4o,gpt-4o,base_b,4,4,5,0.6629,False,4,5,4,0.6629,False,0.0,1.0,1.0,0.667,False,689,1174,4.461,openai,0.7
1,exp3,T52,adversarial_framing,gpt-4o,gpt-4o,base_b,4,3,4,0.5568,False,4,5,5,0.7087,False,0.0,2.0,1.0,1.0,False,723,1222,4.719,openai,0.7
