run_index,batch_id,task_id,task_type,model_key,model_id,prompt_key,claude_structure,claude_hallucination,claude_completeness,claude_token_efficiency,claude_parse_error,gpt4o_structure,gpt4o_hallucination,gpt4o_completeness,gpt4o_token_efficiency,gpt4o_parse_error,agreement_structure_diff,agreement_hallucination_diff,agreement_completeness_diff,agreement_mean_diff,agreement_exact_match,output_tokens,total_tokens,latency_s,api
1,20260815_121607,T01,structure_coherence,claude,claude-sonnet-4-5-20250929,wlm_hybrid_v2,5,5,4,0.6115,False,4,5,5,0.6115,False,1.0,0.0,1.0,0.667,False,2062,4089,48.046,anthropic
1,20260815_121607,T01,structure_coherence,claude,claude-sonnet-4-5-20250929,base_a,5,5,4,0.6323,False,5,5,4,0.6323,False,0.0,0.0,0.0,0.0,True,1604,1800,37.506,anthropic
1,20260815_121607,T01,structure_coherence,claude,claude-sonnet-4-5-20250929,base_b,4,5,3,0.5252,False,4,5,3,0.5252,False,0.0,0.0,0.0,0.0,True,2031,2490,48.08,anthropic
1,20260815_121607,T01,structure_coherence,claude,claude-sonnet-4-5-20250929,base_c,3,4,3,0.4341,False,3,4,3,0.4341,False,0.0,0.0,0.0,0.0,True,2161,2531,51.413,anthropic
1,20260815_121607,T01,structure_coherence,claude,claude-sonnet-4-5-20250929,base_d,5,5,4,0.6134,False,5,5,4,0.6134,False,0.0,0.0,0.0,0.0,True,2012,2352,51.169,anthropic
1,20260815_121607,T02,offset_reasoning,claude,claude-sonnet-4-5-20250929,wlm_hybrid_v2,5,5,2,0.5417,False,5,5,4,0.632,False,0.0,0.0,2.0,0.667,False,1609,4060,37.042,anthropic
1,20260815_121607,T02,offset_reasoning,claude,claude-sonnet-4-5-20250929,base_a,5,4,3,0.5478,False,4,5,4,0.5934,False,1.0,1.0,1.0,1.0,False,1483,1683,31.508,anthropic
1,20260815_121607,T02,offset_reasoning,claude,claude-sonnet-4-5-20250929,base_b,5,5,2,0.5108,False,4,5,3,0.5108,False,1.0,0.0,1.0,0.667,False,2518,2981,56.567,anthropic
1,20260815_121607,T02,offset_reasoning,claude,claude-sonnet-4-5-20250929,base_c,2,4,2,0.3311,False,3,4,4,0.4552,False,1.0,0.0,2.0,1.0,False,3149,3523,65.707,anthropic
1,20260815_121607,T02,offset_reasoning,claude,claude-sonnet-4-5-20250929,base_d,5,4,3,0.5467,False,4,5,4,0.5922,False,1.0,1.0,1.0,1.0,False,1505,1849,35.285,anthropic
1,20260815_121607,T03,constant_emergence,claude,claude-sonnet-4-5-20250929,wlm_hybrid_v2,5,5,4,0.6209,False,4,5,4,0.5765,False,1.0,0.0,0.0,0.333,False,1837,4284,46.002,anthropic
1,20260815_121607,T03,constant_emergence,claude,claude-sonnet-4-5-20250929,base_a,5,5,5,0.6687,False,4,5,4,0.5796,False,1.0,0.0,1.0,0.667,False,1766,1999,35.156,anthropic
1,20260815_121607,T03,constant_emergence,claude,claude-sonnet-4-5-20250929,base_b,5,5,4,0.5993,False,4,5,3,0.5137,False,1.0,0.0,1.0,0.667,False,2408,2904,50.137,anthropic
1,20260815_121607,T03,constant_emergence,claude,claude-sonnet-4-5-20250929,base_c,3,4,2,0.3941,False,4,3,3,0.4379,False,1.0,1.0,1.0,1.0,False,2020,2427,49.083,anthropic
1,20260815_121607,T03,constant_emergence,claude,claude-sonnet-4-5-20250929,base_d,4,5,3,0.5663,False,3,4,3,0.4719,False,1.0,1.0,0.0,0.667,False,1168,1545,28.998,anthropic
1,20260815_121607,T04,cross_domain_mapping,claude,claude-sonnet-4-5-20250929,wlm_hybrid_v2,5,5,2,0.5285,False,4,5,4,0.5726,False,1.0,0.0,2.0,1.0,False,1935,4329,46.232,anthropic
1,20260815_121607,T04,cross_domain_mapping,claude,claude-sonnet-4-5-20250929,base_a,5,5,4,0.6744,False,5,5,3,0.6262,False,0.0,0.0,1.0,0.333,False,1011,1207,21.021,anthropic
1,20260815_121607,T04,cross_domain_mapping,claude,claude-sonnet-4-5-20250929,base_b,5,5,2,0.5433,False,4,5,3,0.5433,False,1.0,0.0,1.0,0.667,False,1575,2034,33.157,anthropic
1,20260815_121607,T04,cross_domain_mapping,claude,claude-sonnet-4-5-20250929,base_c,4,2,3,0.3786,False,4,4,3,0.4628,False,0.0,2.0,0.0,0.667,False,2759,3129,60.735,anthropic
1,20260815_121607,T04,cross_domain_mapping,claude,claude-sonnet-4-5-20250929,base_d,5,5,4,0.6584,False,4,5,3,0.5643,False,1.0,0.0,1.0,0.667,False,1197,1537,29.29,anthropic
1,20260815_121607,T05,hallucination_suppression,claude,claude-sonnet-4-5-20250929,wlm_hybrid_v2,5,5,3,0.5804,False,3,5,3,0.4911,False,2.0,0.0,0.0,0.667,False,1746,4175,45.297,anthropic
1,20260815_121607,T05,hallucination_suppression,claude,claude-sonnet-4-5-20250929,base_a,5,5,4,0.6674,False,5,5,4,0.6674,False,0.0,0.0,0.0,0.0,True,1087,1299,26.27,anthropic
1,20260815_121607,T05,hallucination_suppression,claude,claude-sonnet-4-5-20250929,base_b,2,3,2,0.3071,False,4,5,3,0.5265,False,2.0,2.0,1.0,1.667,False,1991,2466,43.99,anthropic
1,20260815_121607,T05,hallucination_suppression,claude,claude-sonnet-4-5-20250929,base_c,2,5,1,0.3746,False,2,3,2,0.3278,False,0.0,2.0,1.0,1.0,False,1234,1620,32.32,anthropic
1,20260815_121607,T05,hallucination_suppression,claude,claude-sonnet-4-5-20250929,base_d,5,5,4,0.6957,False,3,5,4,0.5963,False,2.0,0.0,0.0,0.667,False,818,1174,22.981,anthropic
1,20260815_121607,T06,math_proof_verification,claude,claude-sonnet-4-5-20250929,wlm_hybrid_v2,5,5,5,0.6554,False,4,5,4,0.568,False,1.0,0.0,1.0,0.667,False,2057,4570,41.334,anthropic
1,20260815_121607,T06,math_proof_verification,claude,claude-sonnet-4-5-20250929,base_a,5,4,5,0.6889,False,5,5,5,0.7381,False,0.0,1.0,0.0,0.333,False,874,1310,14.158,anthropic
1,20260815_121607,T06,math_proof_verification,claude,claude-sonnet-4-5-20250929,base_b,5,4,5,0.6269,False,4,5,4,0.5821,False,1.0,1.0,1.0,1.0,False,1709,2408,29.694,anthropic
1,20260815_121607,T06,math_proof_verification,claude,claude-sonnet-4-5-20250929,base_c,5,5,4,0.6262,False,3,5,4,0.5368,False,2.0,0.0,0.0,0.667,False,1722,2332,27.959,anthropic
1,20260815_121607,T06,math_proof_verification,claude,claude-sonnet-4-5-20250929,base_d,5,4,5,0.6735,False,4,5,5,0.6735,False,1.0,1.0,0.0,0.667,False,1020,1600,17.422,anthropic
1,20260815_121607,T07,causal_inference,claude,claude-sonnet-4-5-20250929,wlm_hybrid_v2,4,5,3,0.5061,False,3,5,3,0.4639,False,1.0,0.0,0.0,0.333,False,2708,5207,62.635,anthropic
1,20260815_121607,T07,causal_inference,claude,claude-sonnet-4-5-20250929,base_a,5,5,4,0.6378,False,4,5,3,0.5467,False,1.0,0.0,1.0,0.667,False,1505,1786,35.217,anthropic
1,20260815_121607,T07,causal_inference,claude,claude-sonnet-4-5-20250929,base_b,5,5,4,0.6025,False,3,4,3,0.4304,False,2.0,1.0,1.0,1.333,False,2310,2854,54.056,anthropic
1,20260815_121607,T07,causal_inference,claude,claude-sonnet-4-5-20250929,base_c,4,5,3,0.4901,False,4,5,3,0.4901,False,0.0,0.0,0.0,0.0,True,3501,3956,78.413,anthropic
1,20260815_121607,T07,causal_inference,claude,claude-sonnet-4-5-20250929,base_d,5,5,4,0.6248,False,4,5,4,0.5802,False,1.0,0.0,0.0,0.333,False,1752,2177,44.472,anthropic
1,20260815_121607,T08,math_proof_verification,claude,claude-sonnet-4-5-20250929,wlm_hybrid_v2,5,5,5,0.7127,False,5,5,5,0.7127,False,0.0,0.0,0.0,0.0,True,1113,3324,26.133,anthropic
1,20260815_121607,T08,math_proof_verification,claude,claude-sonnet-4-5-20250929,base_a,5,4,5,0.6724,False,5,5,5,0.7204,False,0.0,1.0,0.0,0.333,False,1032,1412,18.737,anthropic
1,20260815_121607,T08,math_proof_verification,claude,claude-sonnet-4-5-20250929,base_b,5,5,5,0.6981,False,3,2,3,0.3723,False,2.0,3.0,2.0,2.333,False,1289,1932,24.191,anthropic
1,20260815_121607,T08,math_proof_verification,claude,claude-sonnet-4-5-20250929,base_c,3,4,3,0.4457,False,4,5,3,0.5348,False,1.0,1.0,0.0,0.667,False,1770,2324,33.718,anthropic
1,20260815_121607,T08,math_proof_verification,claude,claude-sonnet-4-5-20250929,base_d,5,4,5,0.6818,False,4,4,4,0.5844,False,1.0,0.0,1.0,0.667,False,938,1462,19.033,anthropic
1,20260815_121607,T09,math_proof_verification,claude,claude-sonnet-4-5-20250929,wlm_hybrid_v2,5,5,5,0.6725,False,5,5,4,0.6276,False,0.0,0.0,1.0,0.333,False,1694,3806,41.124,anthropic
1,20260815_121607,T09,math_proof_verification,claude,claude-sonnet-4-5-20250929,base_a,5,5,5,0.7436,False,5,5,5,0.7436,False,0.0,0.0,0.0,0.0,True,831,1112,20.385,anthropic
1,20260815_121607,T09,math_proof_verification,claude,claude-sonnet-4-5-20250929,base_b,5,5,5,0.6766,False,4,5,5,0.6315,False,1.0,0.0,0.0,0.333,False,1618,2162,33.007,anthropic
1,20260815_121607,T09,math_proof_verification,claude,claude-sonnet-4-5-20250929,base_c,5,5,5,0.6758,False,4,5,3,0.5406,False,1.0,0.0,2.0,1.0,False,1633,2088,31.559,anthropic
1,20260815_121607,T09,math_proof_verification,claude,claude-sonnet-4-5-20250929,base_d,5,5,5,0.7336,False,5,5,5,0.7336,False,0.0,0.0,0.0,0.0,True,911,1336,20.233,anthropic
1,20260815_121607,T10,math_proof_verification,claude,claude-sonnet-4-5-20250929,wlm_hybrid_v2,5,5,5,0.6822,False,4,5,4,0.5913,False,1.0,0.0,1.0,0.667,False,1523,3579,33.726,anthropic
1,20260815_121607,T10,math_proof_verification,claude,claude-sonnet-4-5-20250929,base_a,5,5,5,0.7089,False,5,5,5,0.7089,False,0.0,0.0,0.0,0.0,True,1156,1381,23.166,anthropic
1,20260815_121607,T10,math_proof_verification,claude,claude-sonnet-4-5-20250929,base_b,5,5,4,0.6122,False,4,5,3,0.5247,False,1.0,0.0,1.0,0.667,False,2044,2532,38.731,anthropic
1,20260815_121607,T10,math_proof_verification,claude,claude-sonnet-4-5-20250929,base_c,5,5,4,0.6163,False,5,5,3,0.5723,False,0.0,0.0,1.0,0.333,False,1942,2341,39.629,anthropic
1,20260815_121607,T10,math_proof_verification,claude,claude-sonnet-4-5-20250929,base_d,5,5,4,0.6493,False,4,5,4,0.6029,False,1.0,0.0,0.0,0.333,False,1321,1690,27.852,anthropic
1,20260815_121607,T11,math_proof_verification,claude,claude-sonnet-4-5-20250929,wlm_hybrid_v2,5,5,5,0.6723,False,4,5,3,0.5379,False,1.0,0.0,2.0,1.0,False,1696,3852,40.186,anthropic
1,20260815_121607,T11,math_proof_verification,claude,claude-sonnet-4-5-20250929,base_a,5,5,5,0.7545,False,5,5,4,0.7042,False,0.0,0.0,1.0,0.333,False,754,1079,16.366,anthropic
1,20260815_121607,T11,math_proof_verification,claude,claude-sonnet-4-5-20250929,base_b,5,5,5,0.6831,False,5,5,4,0.6375,False,0.0,0.0,1.0,0.333,False,1509,2097,28.07,anthropic
1,20260815_121607,T11,math_proof_verification,claude,claude-sonnet-4-5-20250929,base_c,5,5,5,0.7032,False,4,4,3,0.5157,False,1.0,1.0,2.0,1.333,False,1224,1723,25.6,anthropic
